run_id,pattern,variant,horizon,brier_raw,brier_cal,bss_raw,bss_cal,auc_raw,auc_cal,sep_cal,event_rate,n,mean_p_raw,mean_p_cal,mean_y,std_p_raw,std_p_cal,ece_cal
exp_exp_jump_dyn_volscaled,jump,dyn_volscaled,10,0.0506986990806293,0.0509277000319551,0.0036807634392688193,-0.0008195108702109266,0.5680334213641748,0.49421273108095864,0.0010727621605262291,0.053778080326752895,2938,0.056628931245745376,0.0573346854138991,0.053778080326752895,0.010690811533113641,0.011757097271942081,0.003556605087146298
exp_exp_jump_dyn_volscaled,jump,dyn_volscaled,20,0.04613287419379933,0.04669984773868118,0.006903569541391152,-0.005301596805307396,0.599768992228592,0.5461450578147112,0.00295591635669485,0.04883879781420765,2928,0.0565153916211293,0.060094293560393905,0.04883879781420765,0.012197446083474273,0.01985491487221929,0.011255495746186306
exp_exp_jump_inst_fixed_multi,jump,inst_fixed_multi,5,0.17010927527202024,0.1669983594215568,-0.04289685574898283,-0.02382461907194111,0.49389278828049643,0.4885401300720015,-0.001118008779261076,0.20523275569147129,2943,0.2733100804168082,0.24635613625025451,0.20523275569147129,0.04578955499750308,0.042781227269972744,0.0478390354997145
exp_exp_jump_inst_fixed_multi,jump,inst_fixed_multi,10,0.2424875011905302,0.24090871752837165,-0.02383216243581021,-0.017166212715061357,0.4881881752618872,0.47983018912224323,-0.0003479673887611945,0.38529611980939416,2938,0.4436890401633764,0.42901804795414883,0.38529611980939416,0.04479728894908466,0.044601158775496134,0.06883741439190116
exp_exp_jump_inst_fixed_multi,jump,inst_fixed_multi,20,0.25399460773679416,0.25319928842109496,-0.02719744360683385,-0.02398103686805797,0.42848934872472,0.433125916617253,-0.005743627490141567,0.5522540983606558,2928,0.5941521402550091,0.5915458517842956,0.5522540983606558,0.03699425791079108,0.03931271331763086,0.058965406476310996
exp_exp_jump_legacy,jump,legacy,5,0.04777622450268056,0.047865088215606436,-0.00034273726639622026,-0.0022033734040829422,0.4802615674708672,0.46269883479185886,-0.0007387165436442966,0.050288820931022764,2943,0.04780801336504696,0.051452068015324016,0.050288820931022764,0.0011545782751467687,0.005772145250667717,0.0011632470843013012
exp_exp_jump_legacy,jump,legacy,10,0.050008059958021336,0.05012690986796848,-0.000687984190387958,-0.003066234354582642,0.49375354977802977,0.47487858310247827,-0.0009167963874524357,0.052756977535738596,2938,0.047080009076469226,0.05225700335055225,0.052756977535738596,0.0011506279103484435,0.007832602394018662,0.0004999741851862971
exp_exp_jump_legacy,jump,legacy,20,0.04675853110769582,0.04730999323536549,6.61249900222316e-05,-0.011726924303419484,0.5305914750957882,0.4158759378991049,-0.0017035869581089186,0.04918032786885246,2928,0.04632619535519122,0.05524112229366888,0.04918032786885246,0.0011011565811077286,0.01876997079985119,0.006060794424816439
exp_exp_trend_dyn_volscaled,trend,dyn_volscaled,5,0.050605412912655266,0.05068484618932177,-0.0020669361007092935,-0.0036398401754380583,0.5187104768611028,0.4202975752282827,-0.0012738697588863881,0.05334692490655794,2943,0.06434984143164568,0.05799340244047397,0.05334692490655794,0.0024493055434982886,0.005793311243071758,0.004646477533916095
exp_exp_trend_dyn_volscaled,trend,dyn_volscaled,10,0.05401291035729142,0.05427343695467222,-0.0018717040358513515,-0.0067041454713892,0.5420255286229998,0.3881081313391799,-0.0024487683283425377,0.05718175629680054,2938,0.06916717154526886,0.06426070011233989,0.05718175629680054,0.00327534314710016,0.006876514696659618,0.007078943815539405
exp_exp_trend_dyn_volscaled,trend,dyn_volscaled,20,0.06365169983786809,0.06419801379433213,-0.00017913237319144848,-0.008763534995138267,0.5086620234604119,0.367983870967742,-0.0038976300206560593,0.06830601092896176,2928,0.07215844148451726,0.06696269812039708,0.06830601092896176,0.004135716538414779,0.007734133374116322,0.0013433128085646034
exp_exp_trend_inst_fixed_multi,trend,inst_fixed_multi,5,0.028403837592498208,0.028312791699814342,-0.012689704623502829,-0.009443620784692186,0.4793314946692489,0.4643930350306677,-0.0010847091416295168,0.028882093102276588,2943,0.046135717521803114,0.04222823716477766,0.028882093102276588,0.00430616276861459,0.005089859770755887,0.0133461440625012
exp_exp_trend_inst_fixed_multi,trend,inst_fixed_multi,10,0.11270527422736555,0.11266059367147888,-0.005347165496693007,-0.004948608547859834,0.4580336474867737,0.4615637400793648,-0.0018693449486120173,0.12865895166780122,2938,0.137669616519174,0.1331210903947636,0.12865895166780122,0.00979145468760691,0.010757706423311161,0.0113551065704587
exp_exp_trend_inst_fixed_multi,trend,inst_fixed_multi,20,0.19737090856291742,0.19784759167099533,-0.006663776555519529,-0.009095034643612943,0.49141469787541947,0.444909143694793,-0.002991303243808696,0.2677595628415301,2928,0.293595002276867,0.28717018371851505,0.2677595628415301,0.012796599711239596,0.015279531793935073,0.019410620876984967
exp_exp_trend_legacy,trend,legacy,5,0.05114995791860158,0.05123271950998742,-0.0008280061097780678,-0.002447364597247148,0.4923439420226995,0.4151169305284471,-0.0009655477011334193,0.05402650356778797,2943,0.04787718880960468,0.05038771358111318,0.05402650356778797,0.0012144642655150064,0.003625535524697059,0.0036387899866746967
exp_exp_trend_legacy,trend,legacy,10,0.053383099483775814,0.05370130429221856,-0.0013964667771373396,-0.007365568870636219,0.527962499348043,0.3736504459396025,-0.003126339749177927,0.05650102110279102,2938,0.04719975039709549,0.0530450054419275,0.05650102110279102,0.0011602274298615472,0.006883501445486938,0.0034560156608635026
exp_exp_trend_legacy,trend,legacy,20,0.06196014400225789,0.06228407608062559,-0.0063288501536469255,-0.011590009584454108,0.4681816029023117,0.375434541682849,-0.003950994697465765,0.06591530054644809,2928,0.046544063069216726,0.05426664493861627,0.06591530054644809,0.0011633545501999682,0.009559391853845882,0.011648655607831696
