idx,p_old,sigma_now,sample_vol,omega_old,alpha_old,beta_old,gamma_old,vol_inf_current_impl,ratio_inf_to_sigma,ratio_inf_to_sample,omega_sigma_anchor,omega_ratio_old_to_sigma_anchor
885,1.0,0.018633330338306286,0.016385989892864355,1.7541688304048558e-06,0.023081098652485494,0.988459452044776,-0.023081098065167716,0.009365278507350631,0.5026089452242227,0.5715418213109573,6.944019989928838e-06,0.25261575181940576
886,1.0,0.01855295820061377,0.01638615367205578,1.7717298402169228e-06,0.023501086508381255,0.9882494611210121,-0.023501084163032388,0.009412039736998912,0.5073066858247728,0.5743898126043934,6.884245159874403e-06,0.2573600734825147
887,1.0,0.018492157676171475,0.016383095061263335,1.76891939816372e-06,0.02347167760625399,0.9882646683641834,-0.02347255920694668,0.009404571755704002,0.5085708179863994,0.5740412126363378,6.839197910407796e-06,0.2586442769073553
888,1.0,0.018130303246926903,0.016380691337946854,2.150368960884176e-06,0.03212301356407954,0.9829719181462577,-0.030189835379054987,0.010369110282189505,0.5719215029647712,0.6330080988809574,6.574157916510607e-06,0.32709420555348273
889,1.0,0.017967745766029285,0.016379983533666605,2.2037887045344436e-06,0.033551922752160214,0.9820272554360833,-0.03115832923634649,0.010497115566988995,0.5842199518893108,0.6408501904421177,6.456797758253236e-06,0.3413129521855485
892,1.0,0.017739525034775026,0.016362099556348965,2.21338746433399e-06,0.0332955234410362,0.9823200343023256,-0.031231063243764623,0.010519951198399076,0.593023273045737,0.6429462895131348,6.293814969188273e-06,0.3516766023738787
893,1.0,0.01812215811762151,0.01637315960446527,2.2112493511311208e-06,0.03254928871318633,0.9829499554047576,-0.030998458898241935,0.010514868879665372,0.5802216718019357,0.6422015746305781,6.568252296801546e-06,0.3366571884286332
894,1.0,0.0179519665505975,0.01637338447951044,2.275650824112179e-06,0.034295199483283134,0.9818036989277505,-0.03219779111121285,0.010666889950009273,0.5941906096997626,0.6514774000059522,6.445462060675436e-06,0.35306248065537565
895,1.0,0.017934114430111246,0.01638064776860327,2.326762407363096e-06,0.03560792177197204,0.9809531812976681,-0.033122193114931475,0.010786015036525523,0.6014244572018501,0.6584608367685582,6.432649207846495e-06,0.36171137772054
896,1.0,0.017824681917991657,0.016380755425904607,2.355985468702088e-06,0.036179908361733036,0.9806240916639886,-0.03360795093670346,0.010853537369682921,0.6089049678203633,0.6625785617016834,6.354385709551616e-06,0.37076525983631753
