date,sigma_garch_1d,sigma_source,thr_5,thr_10,thr_20,p_raw_5,p_cal_5,mc_se_5,ci_low_5,ci_high_5,paths_used_5,y_5,realized_return_5,calib_a_5,calib_b_5,p_raw_10,p_cal_10,mc_se_10,ci_low_10,ci_high_10,paths_used_10,y_10,realized_return_10,calib_a_10,calib_b_10,p_raw_20,p_cal_20,mc_se_20,ci_low_20,ci_high_20,paths_used_20,y_20,realized_return_20,calib_a_20,calib_b_20,risk_combo,p_meta20,meta_a,meta_b
2014-05-13,0.00665451724774082,garch,0.029759905846786564,0.04208686246347193,0.05951981169357313,0.04758,0.03216146424640641,0.0004760049558565541,0.04664703028652115,0.04851296971347884,200000,0.0,-0.012687335159836666,-0.040895118085253875,1.122408180353727,0.046325,0.029285421184335414,0.00046999465090041186,0.04540381048423519,0.04724618951576481,200000,0.0,0.007474996040546689,-0.047252551159898105,1.1418511856702762,0.04594,0.028451459953186483,0.00046813201343210873,0.04502246125367307,0.046857538746326935,200000,0.0,0.02611059349381084,-0.04894839072639703,1.14780590226399,0.030556650469141126,0.021044127584180446,-0.03429498131242009,1.1007857315375462
2014-05-14,0.006593275388676375,garch,0.029486023926913445,0.04169953493789858,0.05897204785382689,0.04832,0.032721715789278814,0.00047950587900462703,0.04738016847715093,0.049259831522849074,200000,0.0,0.00036976257651510913,-0.04092980565738345,1.1225124941028726,0.047305,0.02999717797219613,0.00047469588672643877,0.04637459606201618,0.04823540393798382,200000,0.0,0.017507093857541234,-0.04728566489142387,1.1419503119074614,0.046375,0.02875762713850363,0.0004702358949240264,0.04545333764594891,0.04729666235405109,200000,0.0,0.023696177495507786,-0.04898023608384273,1.1479018751717975,0.03111153671399897,0.021462990659210444,-0.03431873976927323,1.1008671939441828
2014-05-15,0.007095398671459643,garch,0.03173158751369092,0.044875241417490455,0.06346317502738184,0.047885,0.032374866144224704,0.0004774517084219094,0.046949194651493054,0.04882080534850694,200000,0.0,0.011686505801749014,-0.040965107872192846,1.1226180668493675,0.04694,0.02971881006841809,0.00047295156411624226,0.046013014934332165,0.04786698506566784,200000,0.0,0.02817562932028328,-0.04731820438997547,1.1420482166767627,0.047055,0.029242254730168015,0.0004735019903601251,0.04612693609889416,0.04798306390110584,200000,0.0,0.03591298655579567,-0.049011682632097237,1.147996986137504,0.03095152703867138,0.021333943948071914,-0.03434249876975723,1.100948645879955
2014-05-16,0.0068524791377214365,garch,0.030645218332688552,0.04333888338797276,0.061290436665377104,0.04798,0.03243713545472964,0.00047790124293623675,0.04704331356384498,0.04891668643615502,200000,0.0,0.012230505892382393,-0.04100046962350672,1.122723743984606,0.04689,0.029672650405587087,0.00047271200481900183,0.04596348447055476,0.04781651552944524,200000,0.0,0.025790697063157175,-0.0473504124674245,1.1421454056469809,0.046475,0.028812288933871943,0.0004707179323915756,0.045552392852512516,0.04739760714748749,200000,0.0,0.033182322902455264,-0.049043151564532365,1.148092129211452,0.030882820635815336,0.021275035091353988,-0.03436586384387312,1.1010290983364128
2014-05-19,0.006660538725927585,garch,0.029786834715887844,0.042124945635374327,0.05957366943177569,0.047935,0.03239136537966882,0.00047768837004369283,0.04699873079471436,0.04887126920528564,200000,0.0,0.01472921336478028,-0.041036059168073506,1.1228298725564785,0.04759,0.0301788715680388,0.0004760524755738594,0.046656937147875235,0.048523062852124765,200000,0.0,0.021511355683336175,-0.04738291991132522,1.1422432103439135,0.04672,0.028980922925922494,0.0004718963954089923,0.045795083064998375,0.04764491693500162,200000,0.0,0.03226698411336848,-0.049075119290689785,1.1481883136332731,0.031045528745430553,0.02139336021704912,-0.034389556833353284,1.1011103616691682
2014-05-20,0.006766868080740502,garch,0.030262354046618596,0.04279743152206433,0.06052470809323719,0.048865,0.033098482239255385,0.0004820643721278311,0.04792015383062945,0.04980984616937055,200000,0.0,0.020421424659479603,-0.04107106920372466,1.122934783405565,0.0475,0.030102961570925547,0.0004756245893559331,0.04656777580486237,0.04843222419513763,200000,0.0,0.03007218202827522,-0.047415553951148076,1.1423412651135458,0.04668,0.028942939308101597,0.0004717042378440117,0.04575545969382574,0.04760454030617426,200000,0.0,0.04644120552470321,-0.04910666851015523,1.1482835961693263,0.031368717452525674,0.02163479565665326,-0.03441318127430568,1.1011914416904227
2014-05-21,0.007158899207437622,garch,0.03201557054379978,0.045276854070154214,0.06403114108759957,0.04773,0.03221143499991132,0.0004767171441221723,0.04679563439752055,0.048664365602479456,200000,0.0,0.01713099687948172,-0.041106680842209614,1.1230409197378424,0.0478,0.030314639651309365,0.00047704905408144354,0.04686498385400037,0.048735016145999635,200000,0.0,0.028129044016054428,-0.04744826228276603,1.1424394595882505,0.047395,0.029453201201320396,0.0004751247940015339,0.046463755403756996,0.048326244596243004,200000,0.0,0.03886239640267597,-0.04913783609981157,1.1483780508616983,0.031090749635612546,0.021415412810529007,-0.034436428082235696,1.1012715617482887
2014-05-22,0.006843300955954383,garch,0.03060417225600659,0.04328083546964692,0.06120834451201318,0.04753,0.03204654563602019,0.00047576727031186164,0.04659749615018875,0.04846250384981125,200000,0.0,0.01629864925940372,-0.04114190640991081,1.123146240082295,0.04701,0.02972314582517653,0.0004732866990524876,0.04608235806985713,0.047937641930142876,200000,0.0,0.030539578063023542,-0.047480944408349275,1.14253758263813,0.04577,0.02826654893148829,0.00046730668249020364,0.0448540789023192,0.0466859210976808,200000,0.0,0.03844560843535527,-0.04916976319254276,1.1484741023418397,0.030593526351860714,0.021028597421300536,-0.03445999537956005,1.1013524753114863
2014-05-23,0.006678534982335112,garch,0.02986731642122334,0.042238763954582696,0.05973463284244668,0.048185,0.03254013701046105,0.0004788695322057982,0.047246415716876634,0.04912358428312336,200000,0.0,0.013396347069010828,-0.04117719142785598,1.123251664721915,0.048035,0.030468748626137732,0.0004781612634613975,0.047097803923615664,0.04897219607638434,200000,0.0,0.02747566629960585,-0.04751413502623122,1.1426367532587955,0.046435,0.028738538619617275,0.00047052518941603967,0.04551277062874456,0.04735722937125544,200000,0.0,0.03398271541500497,-0.04920155767519826,1.1485698578537542,0.0311584008169953,0.021454592182406935,-0.03448350243584016,1.1014332262313793
2014-05-27,0.006761778048491379,garch,0.030239590730385187,0.04276523933152246,0.06047918146077037,0.04722,0.031786434604346755,0.0004742903730838314,0.046290390868755686,0.04814960913124431,200000,0.0,0.006683696723450927,-0.04121241836439905,1.1233569505454053,0.04734,0.029946860524382925,0.00047486274016814584,0.046409269029270436,0.048270730970729564,200000,0.0,0.021303315504688225,-0.04754695340127408,1.1427351291957812,0.04689,0.02905923559182252,0.00047271200481900183,0.04596348447055476,0.04781651552944524,200000,0.0,0.02147549892287981,-0.0492333663945336,1.1486656277899123,0.03068912257785276,0.021089218304405275,-0.034506959608515235,1.1015138404182505
